Real Madryt;real_madryt.png
Barcelona;fc_barcelona.png
Atletico Madryt;atletico_madryt.png
Sevilla;sevilla.png
Villareal;villareal.svg
Real Soceidad;real_sociedad.png
Athletic Bilbao;atlhetic_bilbao.png
Espanyol;espanyol_barcelona.png
Alaves;deportivo_alaves.svg
Eibar;eibar.svg
Malaga;malaga.png
Valencia;valencia.png
Celta Vigo;celta_vigo.svg
Las Palmas;las_palmas.svg
Betis;betis.png
La Coruna;deportivo_la_coruna.png
Leganes;deportivo_leganes.png
Levante;levante.png
Girona;girona.svg
Getafe;getafe.png
